שם הקובץ,נתיב הקובץ,תיקיית המקור,מספר שורות
קרן אורה על נזיר.txt,אוצריא/תלמוד בבלי/אחרונים/קרן אורה/סדר נשים/קרן אורה על נזיר.txt,Dicta,1398
קרן אורה דיני טריפות על מסכת חולין.txt,אוצריא/תלמוד בבלי/אחרונים/קרן אורה/סדר קדשים/קרן אורה דיני טריפות על מסכת חולין.txt,Dicta,49
קרן אורה על מעילה.txt,אוצריא/תלמוד בבלי/אחרונים/קרן אורה/סדר קדשים/קרן אורה על מעילה.txt,Dicta,348
קרן אורה על מנחות.txt,אוצריא/תלמוד בבלי/אחרונים/קרן אורה/סדר קדשים/קרן אורה על מנחות.txt,Dicta,836
קרן אורה על זבחים.txt,אוצריא/תלמוד בבלי/אחרונים/קרן אורה/סדר קדשים/קרן אורה על זבחים.txt,Dicta,1263
נחלת דוד על בבא קמא.txt,אוצריא/תלמוד בבלי/אחרונים/נחלת דוד/נחלת דוד על בבא קמא.txt,Dicta,272
נחלת דוד על בבא מציעא.txt,אוצריא/תלמוד בבלי/אחרונים/נחלת דוד/נחלת דוד על בבא מציעא.txt,Dicta,325
נחלת דוד על בבא בתרא.txt,אוצריא/תלמוד בבלי/אחרונים/נחלת דוד/נחלת דוד על בבא בתרא.txt,Dicta,89
בית אהרן על כתובות.txt,אוצריא/תלמוד בבלי/אחרונים/בית אהרן/בית אהרן על כתובות.txt,Dicta,1118
בית אהרן על גיטין.txt,אוצריא/תלמוד בבלי/אחרונים/בית אהרן/בית אהרן על גיטין.txt,Dicta,1173
בית אהרן על בבא מציעא.txt,אוצריא/תלמוד בבלי/אחרונים/בית אהרן/בית אהרן על בבא מציעא.txt,Dicta,1298
גבורת ארי מכות.txt,אוצריא/תלמוד בבלי/אחרונים/גבורת ארי/גבורת ארי מכות.txt,Dicta,105
גבורת ארי ביצה.txt,אוצריא/תלמוד בבלי/אחרונים/גבורת ארי/גבורת ארי ביצה.txt,Dicta,14
‏‏גבורת ארי יומא.txt,אוצריא/תלמוד בבלי/אחרונים/גבורת ארי/‏‏גבורת ארי יומא.txt,Dicta,688
גבורת ארי נזיר.txt,אוצריא/תלמוד בבלי/אחרונים/גבורת ארי/גבורת ארי נזיר.txt,Dicta,7
לפלגות ראובן חלק ג.txt,אוצריא/תלמוד בבלי/אחרונים/לפלגות ראובן/לפלגות ראובן חלק ג.txt,Dicta,1077
לפלגות ראובן חלק א.txt,אוצריא/תלמוד בבלי/אחרונים/לפלגות ראובן/לפלגות ראובן חלק א.txt,Dicta,1128
לפלגות ראובן חלק ב.txt,אוצריא/תלמוד בבלי/אחרונים/לפלגות ראובן/לפלגות ראובן חלק ב.txt,Dicta,648
משמרות כהונה חלק א.txt,אוצריא/תלמוד בבלי/אחרונים/משמרות כהונה/משמרות כהונה חלק א.txt,Dicta,5647
משמרות כהונה חלק ג.txt,אוצריא/תלמוד בבלי/אחרונים/משמרות כהונה/משמרות כהונה חלק ג.txt,Dicta,5310
משמרות כהונה על סדר נזיקין.txt,אוצריא/תלמוד בבלי/אחרונים/משמרות כהונה/משמרות כהונה על סדר נזיקין.txt,Dicta,3462
גבורות שמונים.txt,אוצריא/תלמוד בבלי/אחרונים/ר' יוסף ענגיל/גבורות שמונים.txt,Dicta,705
גליוני השס על סוטה.txt,אוצריא/תלמוד בבלי/אחרונים/ר' יוסף ענגיל/גליוני השס/נשים/גליוני השס על סוטה.txt,Dicta,199
גליוני השס על כתובות.txt,אוצריא/תלמוד בבלי/אחרונים/ר' יוסף ענגיל/גליוני השס/נשים/גליוני השס על כתובות.txt,Dicta,646
גליוני השס על יבמות.txt,אוצריא/תלמוד בבלי/אחרונים/ר' יוסף ענגיל/גליוני השס/נשים/גליוני השס על יבמות.txt,Dicta,796
גליוני השס על נדרים.txt,אוצריא/תלמוד בבלי/אחרונים/ר' יוסף ענגיל/גליוני השס/נשים/גליוני השס על נדרים.txt,Dicta,296
גליוני השס על גיטין.txt,אוצריא/תלמוד בבלי/אחרונים/ר' יוסף ענגיל/גליוני השס/נשים/גליוני השס על גיטין.txt,Dicta,506
גליוני השס על קידושין.txt,אוצריא/תלמוד בבלי/אחרונים/ר' יוסף ענגיל/גליוני השס/נשים/גליוני השס על קידושין.txt,Dicta,577
גליוני השס על נזיר.txt,אוצריא/תלמוד בבלי/אחרונים/ר' יוסף ענגיל/גליוני השס/נשים/גליוני השס על נזיר.txt,Dicta,126
גליוני השס על מכות.txt,אוצריא/תלמוד בבלי/אחרונים/ר' יוסף ענגיל/גליוני השס/נזיקין/גליוני השס על מכות.txt,Dicta,112
גליוני השס על סנהדרין.txt,אוצריא/תלמוד בבלי/אחרונים/ר' יוסף ענגיל/גליוני השס/נזיקין/גליוני השס על סנהדרין.txt,Dicta,541
